0;Toyota;0;1994;9601;200.000;360.000;5;5;5
1;Audi;1;2010;40000;300.000;25.145;3;1;5
2;Nissan;2;2023;45000;156.000;15.696;3;1;5
3;Nissan;2;1997;40000;123.000;320.500;1;3;5
4;Bmw;3;1993;12002;213.000;333.333;4;1;5
5;Audi;1;2019;22000;234.000;140.750;2;3;5
6;Mazda;4;2023;45000;123.000;20.367;3;3;5
7;Toyota;0;2003;30000;234.000;25.948;4;1;5
8;Nissan;2;2013;163950;234.000;598.000;3;1;5
9;Ford;5;2023;12550;234.000;518.000;4;4;5
10;Toyota;0;2013;16537;321.000;558.000;1;1;5
11;renault;6;2020;1;1.000;1.000;1;1;1
